Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,,,,,,,,,,,,,,,,,0,0,0.37386535,0.072998634,63.65531059,20.30300073,1.037508194,0.634500189,0.12108807,0.126922345,0.064773919,0.014586934,1.878860471,-0.103767742,0.140152916,-0.192027931,-0.316546763,-0.160309563,-0.366006518,-0.380290682,-0.528861057,1.51249733,0.101750102,0.060362173,0.114512737,0.122699387,0.110204981,0.163595285,0.320548343,0.360150593,-0.014118683,2.721501129,,,
Afghanistan,AFG,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.022145653,-0.01339257,0.024157944,,,-0.018973126,0.001986569,-0.007870852,0.006386872,-0.044300716,0.002613283,-9.35E-05,0.010865731,0.077734719,0.059675507,0.211419598,0.13644137,
Angola,AGO,,,,,,,,,,,,,,,,0,0,0,0,0,0.008015129,0,0.002273773,0.034669734,-0.045062085,-0.018054618,-0.165030817,0.051951142,0,-0.001434847,0,0,0.654936894,0.53837976,3.325553062,0.593336776,0.363843876,1.397013973,2.902286289,0.009605173,1.599567346,1.871945896,0.692273319,0.674103662,0.608591768,-0.675484609,0.269970929,1.107077252,0.005637874,-2.64528219,
Albania,ALB,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189345938,0.050440708,0.118029595,0.045988312,2.840817353,3.27669589,0.388922676,1.567711422,0.675159015,0.222675777,0.571867766,0.696510288,0.059342789,-0.815504104,-0.029796856,0.261642691,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,0.070510826,0.082455616,-0.057221335,0.177105414,-0.027786196,0.113378547,0.071612293,0.063226459,0.034462262,0.110090217,0.246795031,0.654321702,0.516751071,-0.01582019,0.0188897,0.312074901,0.072797927,-0.041763262,-0.113732815,0.499381954,0.036191034,-0.164750557,0.194069134,0.327751477,-0.104602496,0.436230985,-0.222448649,0.860113867,0.986352132,1.629280911,2.290004706,2.177903811,1.088594983,1.061412952,1.324227436,0.81550593,1.595700704,1.470472515,1.565171619,1.758657916,1.465589157,1.685513769,1.528079124,
United Arab Emirates,ARE,,,,,,,,,,,-0.004587288,0.00608107,0.017159017,0.007008802,0.023918893,0.027262566,-0.068718689,-0.030531678,0.191892168,0.008891998,-0.113707592,0.020254873,0.028017021,0.055297744,0.972936474,0.095015804,0.174814835,0.293169184,0.168220923,0.375516183,0.40605497,0.206851125,0.40168609,0.797088437,1.493664404,2.076377242,4.903625373,5.648244241,5.014761636,1.073921658,0.695337488,0.621103787,0.6770087,2.263052262,2.911143628,4.660699821,4.400396912,3.646199484,3.571471985,3.775710527,
Argentina,ARG,0.005752875,,0.004816745,,0.003307712,0.008556666,0.003013514,-0.001761152,-0.039598594,-0.085195691,-0.14292782,-0.135999357,-0.035584028,0.001923463,0.055073837,0.047897131,0.010095863,0.043319776,-0.017968212,0.084033366,0.024692183,0.026030834,0.509603281,0.29782246,0.393429149,0.580218907,0.588186835,1.247295798,0.777886139,0.610279589,0.317035999,0.059872956,-0.641746114,0.606472572,0.410542024,0.659695665,1.048653872,0.523155949,0.384705758,0.213692689,0.227738015,0.280668249,0.19320213,0.161219625,0.364900179,0.14716003,0.320435945,0.179549215,0.348169958,0.345545589,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.609697355,0,0,0,6.45E-05,0.021695921,-0.003474,0.109970031,0.354408925,0.09658291,0.261587673,0.604079534,0.29652503,2.160117621,0.220597637,0.272112244,0.248107589,0.272443896,0.668675124,0.252066175,0.056289441,-1.042619975,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506676305,1.053011654,2.643949184,-0.159342387,-1.863429886,0.678477778,
Australia,AUS,0.269834829,0.231448952,0.247792456,0.401435954,0.271170401,0.165708309,0.255080197,0.241490451,0.199250238,0.254731819,0.307131115,0.415049065,0.357533698,0.292612626,0.726147112,1.046585303,1.877925368,2.697266551,2.904964065,1.010608847,0.203705503,-0.360282131,1.180526471,0.817138366,0.567268459,1.101707238,1.250652373,1.399583344,1.169881588,0.080123093,0.986222605,3.536383429,1.767229013,3.986775734,1.597583829,-4.717771585,3.22798695,1.690398334,3.025408811,1.235587422,1.576474491,0.590744997,0.372773824,-0.048833474,1.537726037,0.610996957,-0.257157771,0.646652862,0.069682098,0.687268593,
Austria,AUT,0.056267462,0.202256786,0.173937779,0.131320975,0.05606818,0.064479559,0.130842717,0.167036051,0.144732845,0.114772927,0.122741085,0.296955432,0.195439408,0.261546508,0.103419347,0.062692533,0.297620025,0.254809605,0.212580531,0.647328952,1.021846329,0.743983495,0.9022221,0.619051368,0.609730037,0.44953559,0.796237372,0.939127369,1.268232976,1.519856296,2.799540538,1.531331394,2.709014075,2.621281068,2.668589841,25.72658528,4.788070596,20.33487162,6.48463732,3.88786891,-3.656006646,8.847944265,4.504924543,2.564939014,-0.198048399,-0.560344879,-6.804331565,2.422664525,-5.841452055,-0.15501874,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.122745508,0.00010094,0.000449805,,0.014414094,10.39059308,15.35885168,22.75398618,27.27791429,30.32863584,27.52439956,29.13360013,9.267964954,6.215299991,5.712074823,5.386581273,6.430238111,1.992716564,2.640828809,6.046945014,6.796328545,6.275163527,3.737565425,5.061057406,
Burundi,BDI,,,,,,,,,,,,,,,,-0.09812038,0.011176647,0.009469185,0.005025362,0.004526356,0.000515787,0.002359631,0,0.014481228,0.011124397,0.060032539,0,0,0,-0.029534344,-1.342151372,-0.001043885,0,-0.000588594,0,0,0,0.002583097,0.036077961,,,,,0.006801311,0.001013142,0.004901847,0.001231341,0.000313579,1.85E-07,0.024832608,
Belgium,BEL,0.651534197,0.690773039,0.475686021,0.563423924,0.854852202,0.3620989,0.494713529,0.561577174,0.552878228,1.152624111,0.154562059,0.099102436,-0.07498703,0.406862529,0.351375706,0.343683744,1.435608574,1.862345525,2.331590202,3.949700567,3.07523803,2.978908474,4.858556826,2.182058035,0.560011791,4.028461521,2.874670057,2.869762146,11.1575002,47.37560758,36.56225769,42.54905594,3.46865017,12.30885233,9.428455414,8.439006345,12.28948656,17.74478556,43.33185081,6.926298805,13.89472107,24.70239403,8.362792728,-2.37119122,-0.078220972,1.586094703,7.263459686,-1.054341615,-6.147950336,-5.624377167,
Benin,BEN,,,,,0,0,0,0,0,0.016644404,0,0.002280255,0.041766689,0.049592713,0.045068585,0,0,0,-1.336959782,-4.207874022,-3.33330509,-6.06044552,-4.519360434,-1.01293387,-1.298831187,-0.971036924,-1.196769497,-0.074625843,-0.873869122,-0.775820417,-1.967625053,-0.678399319,-0.757217065,-0.634751966,-1.716180659,-0.948035414,-0.958209386,-1.501453144,-1.295825089,-1.261100179,-1.482905917,0.558551473,0.362013801,0.468048564,0.130063217,0.287134028,0.147035854,0.251206499,0.0685603,0.188660018,
Burkina Faso,BFA,,,,,0.050590198,0.072342526,0.025600391,0.032707897,0.052182728,0.0205893,0.001555435,0.001689339,0.013109519,0.001874673,0.000684988,0.001932375,0.001964344,0.004521017,0.006417004,0.02996197,-0.017764812,0.004259511,0.005449937,0.066632218,0.361122323,0.00841941,0.025318269,0.042768284,0.187701166,0.005744031,0.005652851,0.018728622,0.047371315,0.040466955,-0.164129354,0.289102789,0.753243628,-4.139478672,-0.75194391,-0.155649524,0.006757052,0.847435418,0.580810574,0.433692972,0.498789535,0.119208424,0.393576793,0.0727926,0.42162967,0.102773048,
Bangladesh,BGD,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001582362,0.001292095,0.000315369,0.000603018,0.000592265,0.004480789,0.02691733,0.006354364,0.006006176,0.000116956,0.003747439,0.038154302,0.004828746,0.004617465,0.006249292,0.002793539,0.005005382,0.168647558,0.208073847,0.176456993,0.057635858,0.231218249,0.216757756,0.364607746,0.024160461,0.030706597,0.018298863,0.050755578,0.007009965,0.007621928,
Bulgaria,BGR,,,,,,,,,,,0,0,0,0,0,0,0,0.021778531,0.068159107,0.010022304,-0.012146127,-0.05546647,-0.026220916,-0.029649916,0.001856164,-0.042142296,-0.231816224,-0.015022995,0.000423154,0.125607881,0.024792137,0.068111806,0.172762338,0.125338487,0.739251815,0.312484492,0.848521819,2.189361438,2.05271352,0.694391742,1.169568578,0.857993482,0.758755021,0.632091138,1.550666194,0.209289935,1.545248064,0.865892544,1.351680362,1.048559545,
Bahrain,BHR,,,,,,,,,,,0,0,0.16457543,0,0,-0.202288382,0.887485205,0.533026047,0.690897481,0.696058917,7.079979879,1.083136487,1.113972235,0.746688509,3.568357857,-0.274825803,4.995559195,0.750417833,2.924172297,2.467167875,0.105404555,2.40587023,1.980819982,6.694059281,7.875480841,7.109975617,5.296221933,7.681311257,6.302690513,-7.810063341,1.299105624,3.105360444,1.677948129,1.633858718,-1.1813175,10.27662432,-2.73011918,0.645517291,4.024061017,-0.51089883,
